Métaprogramme,Question,Réponse 1,Réponse 2,Réponse 3,Réponse 4
Visuel,Vous souvenez-vous plus facilement des visages que des noms ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Visuel,Aimez-vous organiser votre espace de travail de façon esthétique et harmonieuse ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Visuel,Choisissez-vous vos vêtements principalement en fonction de leur apparence visuelle ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Visuel,"Lorsqu'on vous explique quelque chose, préférez-vous voir un schéma ou un dessin à la place ?",Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Visuel,Avez-vous tendance à visualiser mentalement vos projets ou vos idées ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Auditif,"Lorsque vous entendez une voix familière, la reconnaissez-vous rapidement, même sans voir la personne ?",Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Auditif,"Entendez-vous une voix intérieure qui accompagne votre lecture, comme si vous vous racontiez l’histoire à vous-même ?",Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Auditif,"Lorsqu’on vous donne des consignes, les retenir à l’oral vous est-il facile ?",Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Auditif,Le bruit de fond vous gêne-t-il facilement pour vous concentrer ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Auditif,Avez-vous besoin de verbaliser vos idées à haute voix pour les clarifier ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Kinesthésique,Êtes-vous particulièrement sensible à la texture des vêtements que vous portez ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Kinesthésique,"Avez-vous du mal à rester concentré(e) sans bouger, même légèrement ?",Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Kinesthésique,Apprenez-vous plus facilement en manipulant ou en expérimentant directement ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Kinesthésique,Avez-vous besoin de ressentir physiquement un lieu pour savoir si vous vous y sentez bien ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Kinesthésique,"Évitez-vous certains vêtements, même beaux, s’ils sont trop serrés ou inconfortables ?",Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Option,Aimez-vous avoir plusieurs manières possibles d’aborder une même tâche ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Option,Préférez-vous improviser plutôt que suivre une méthode fixe ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Option,Vous sentez-vous limité(e) lorsqu’on vous impose une seule façon de faire ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Option,Avez-vous tendance à adapter les règles plutôt qu’à les suivre strictement ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Option,Appréciez-vous les formations ouvertes plutôt que très structurées ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Procédure,Avez-vous besoin de consignes claires avant de commencer une tâche ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Procédure,Préférez-vous suivre une méthode pas à pas plutôt que d’improviser ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Procédure,Est-ce que l’absence de cadre vous déstabilise ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Procédure,Aimez-vous quand les choses sont bien organisées et logiques ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Procédure,Vous sentez-vous plus efficace avec un plan établi à l’avance ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Proactif,Prenez-vous souvent les devants pour résoudre un problème ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Proactif,Initiez-vous souvent les projets ou les discussions ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Proactif,Avez-vous tendance à agir plutôt qu’attendre ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Proactif,Êtes-vous à l’aise dans les situations qui demandent de la réactivité ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Proactif,Cherchez-vous rapidement des solutions quand un obstacle survient ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Réactif,Avez-vous besoin de prendre le temps de réfléchir avant d’agir ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Réactif,Préférez-vous observer avant de vous lancer dans une nouvelle activité ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Réactif,Avez-vous tendance à réagir plutôt qu’à initier ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Réactif,Est-ce que vous vous sentez plus à l’aise lorsqu’un cadre est déjà posé ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Réactif,L’attente d’un déclencheur extérieur vous rassure-t-elle avant de commencer ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Pouvoir,Souhaitez-vous influencer les décisions dans un groupe ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Pouvoir,Vous sentez-vous motivé(e) par le fait d’être reconnu(e) comme leader ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Pouvoir,Avez-vous besoin d’avoir le contrôle sur ce que vous entreprenez ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Pouvoir,Est-ce que relever des défis vous stimule ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Pouvoir,Avez-vous tendance à vouloir réaliser ce qu’on vous croit incapable de faire ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Objectif,Vous fixez-vous des buts clairs avant d’agir ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Objectif,Avez-vous besoin d’un résultat concret pour vous sentir motivé(e) ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Objectif,Est-ce que la performance pour vous s’évalue par l’atteinte d’un résultat plutôt que par ce que vous avez appris ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Objectif,Planifiez-vous vos actions avec une idée précise du résultat attendu ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Objectif,Vous sentez-vous plus à l’aise quand vous savez exactement où vous allez ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Affiliation,Est-il important pour vous d’être bien intégré(e) dans un groupe ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Affiliation,Cherchez-vous à créer des liens avant tout dans un nouveau contexte ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Affiliation,Préférez-vous collaborer que réussir seul(e) ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Affiliation,L’ambiance dans une équipe est-elle plus importante que le salaire que vous gagnez ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Affiliation,Faites-vous attention à ne pas blesser les autres dans vos choix ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Passé,Vous appuyez-vous sur vos expériences pour prendre des décisions ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Passé,Avez-vous tendance à vous référer à ce que vous connaissez déjà ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Passé,Préférez-vous les traditions aux nouveautés ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
